Brand,Number,Location,Price,Description,ImageName
John Deere 4850,407-259-7775,"Hermiston, OR","36,900",Year 1989,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4850,9546_1.jpg"
John Deere 4630,407-259-7775,"Humbolt, TN","13,500",Year 1973,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4630,14009_1.jpg"
John Deere 2640,407-259-7775,"Fresno, CA","14,500",Year 1980,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2640,10595_1.jpg"
John Deere 5020,407-259-7775,"Humbolt, TN","11,995",Year 1971,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-5020,12918_1.jpg"
John Deere A,407-259-7775,"Joplin, MO","3,300",Year 1949,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-a,8899_1.jpg"
John Deere 7200R,407-259-7775,"Friendship, TN","119,900",Year 2011,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7200r,14017_1.jpg"
John Deere 4020,407-259-7775,"Olney, IL","14,900",Year 1967,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,13985_1.jpg"
John Deere 4630,407-259-7775,"Albany, OR","17,750",Year 1977,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4630,11369_1.jpg"
John Deere 4430,407-259-7775,"Walla Walla, WA","16,250",Year 1977,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4430,12186_1.jpg"
John Deere 4640,407-259-7775,"Corvallis, OR","22,250",Year 1980,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4640,15039_1.jpg"
John Deere 9420,407-259-7775,"Humbolt, TN","135,000",Year 2006,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9420,12950_1.jpg"
John Deere 4020,407-259-7775,"Caldwell, ID","15,750",Year 1972,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,11328_1.jpg"
John Deere 9400,407-259-7775,"Humbolt, TN","125,000",Year 1998,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9400,12945_1.jpg"
John Deere 4755,407-259-7775,"Eugene, OR","39,990",Year 1990,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4755,12334_1.jpg"
John Deere 9420,407-259-7775,"Tipton, IA","114,000",Year 2006,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9420,6608_1.jpg"
John Deere 6415,407-259-7775,"Knoxville, TN","27,000",Year 2007,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6415,11516_1.jpg"
John Deere 4630,407-259-7775,"Humbolt, TN","11,995",Year 1977,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4630,12905_1.jpg"
John Deere 7730,407-259-7775,"Corsica, SD","102,900",Year 2007,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7730,8916_1.jpg"
John Deere 6430,407-259-7775,"Friendship, TN","41,990",Year 2010,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6430,14055_1.jpg"
John Deere 4555,407-259-7775,"Santa Maria, CA","29,400",Year 1989,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4555,7594_1.jpg"
John Deere 5425,407-259-7775,"Salem, OR","21,700",Year 2007,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-5425,3942_1.jpg"
John Deere 9520,407-259-7775,"Humbolt, TN","115,000",Year 2002,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9520,12948_1.jpg"
John Deere 8770,407-259-7775,"Eugene, OR","57,500",Year 1996,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8770,12333_1.jpg"
John Deere 6420,407-259-7775,"Friendship, TN","48,750",Year 2002,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6420,15987_1.jpg"
John Deere 2630,407-259-7775,"Batesville, AR","8,850",Year 1975,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2630,9800_1.jpg"
John Deere 9520,407-259-7775,"Humbolt, TN","119,900",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9520,12935_1.jpg"
John Deere 2630,407-259-7775,"Kingston, IL","8,900",Year 1974,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2630,13734_1.jpg"
John Deere 7700,407-259-7775,"Sweethome, OR","37,950",Year 1993,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7700,4101_1.jpg"
John Deere 4840,407-259-7775,"Humboldt, TN","20,000",Year 1982,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4840,12991_1.jpg"
John Deere 2950,407-259-7775,"Okeechobee, FL","8,900",Year 1985,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2950,7157_1.jpg"
John Deere 8330,407-259-7775,"Friendship, TN","104,990",Year 2008,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8330,14018_1.jpg"
John Deere 4020,407-259-7775,"Memphis, IN","15,000",Year 1969,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,12849_1.jpg"
John Deere 4640,407-259-7775,"Humbolt, TN","15,995",Year 1978,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4640,12915_1.jpg"
John Deere 4850,407-259-7775,"Humbolt, TN","29,900",Year 1983,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4850,12968_1.jpg"
John Deere 4760,407-259-7775,"Friendship, TN","44,990",Year 1994,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4760,14019_1.jpg"
John Deere 7800,407-259-7775,"Sweethome, OR","36,000",Year 1994,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7800,4108_1.jpg"
John Deere None,407-259-7775,"ftpierce, FL","25,500",Year 1995,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-none,7451_1.jpg"
John Deere 9420,407-259-7775,"Humbolt, TN","119,000",Year 2003,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9420,12939_1.jpg"
John Deere 4850,407-259-7775,"Humbolt, TN","25,000",Year 1984,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4850,12913_1.jpg"
John Deere 145,407-259-7775,"Syracuse, NY","6,420",Year 1980,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-145,12550_1.jpg"
John Deere 7220,407-259-7775,"Vero Beach, FL","54,990",Year 2008,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7220,14266_1.jpg"
John Deere 4230H,407-259-7775,"Los Angeles, CA","15,500",Year 1973,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4230h,8933_1.jpg"
John Deere 4230,407-259-7775,"Scotland, TX","14,000",Year 1973,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4230,3082_1.jpg"
John Deere 2640,407-259-7775,"Memphis, IN","13,750",Year 1979,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2640,12852_1.jpg"
John Deere 8420,407-259-7775,"Tipton, IA","104,000",Year 2002,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8420,6607_1.jpg"
John Deere 4555,407-259-7775,"Corvallis, OR","44,500",Year 1990,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4555,15038_1.jpg"
John Deere 6115D,407-259-7775,"Friendship, TN","44,000",Year 2009,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6115d,15984_1.jpg"
John Deere 8850,407-259-7775,"West Liberty, IA","24,150",Year 1983,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8850,13155_1.jpg"
John Deere 1050,407-259-7775,"N. Myrtle Beach, SC","8,500",Year 1980,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-1050,10102_1.jpg"
John Deere 4020,407-259-7775,"Friendship, TN","13,990",Year 1968,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,15986_1.jpg"
John Deere 5093E,407-259-7775,"Whiteville, NC","49,250",Year 2013,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-5093e,10189_1.jpg"
John Deere 8960,407-259-7775,"Humbolt, TN","47,900",Year 1992,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8960,14008_1.jpg"
John Deere 5210,(305) 592-4332,-,"20,000","Used 1999 John Deere 5210 Agricultural Tractor, Pto, Bush Hog Mower Attachment Included, Open Cab, New Tires, Two Wheel Drive, Canopy, 3,700 Hours","http://static.mascus.com/image/product/large/mecomiami/john-deere-5210,751609612_1.jpg"
John Deere 9420,407-259-7775,"Humboldt, TN","134,500",Year 2000,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9420,12931_1.jpg"
John Deere X720,407-259-7775,"Rochester, MN","8,500",Year 2007,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-x720,13434_1.jpg"
John Deere 4430,407-259-7775,"Monroe, WA","14,000",Year 1978,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4430,9209_1.jpg"
John Deere 9420,407-259-7775,"Humbolt, TN","119,000",Year 2003,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9420,12941_1.jpg"
John Deere 9620,407-259-7775,"Wichita Falls, TX","121,000",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9620,9572_1.jpg"
John Deere 4630,407-259-7775,"Fairfield, IA","14,500",Year 1974,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4630,13161_1.jpg"
John Deere 2950,407-259-7775,"Knoxville, TN","12,500",Year 1982,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2950,12311_1.jpg"
John Deere 4760,407-259-7775,"Friendship, TN","44,500",Year 1994,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4760,15508_1.jpg"
John Deere 2155,407-259-7775,"Olney, IL","10,750",Year 1989,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2155,15348_1.jpg"
John Deere 9520,407-259-7775,"Humbolt, TN","119,900",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9520,12942_1.jpg"
John Deere 4760,407-259-7775,"Hermiston, OR","45,000",Year 1993,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4760,9549_1.jpg"
John Deere 7230,407-259-7775,"Friendship, TN","69,990",Year 2011,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7230,15511_1.jpg"
John Deere 6120,407-259-7775,"Friendship, TN","28,000",Year 2003,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6120,15985_1.jpg"
John Deere 5625,407-259-7775,"Little River, SC","43,250",Year 2007,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-5625,11507_1.jpg"
John Deere 3325,407-259-7775,"Colton, CA","9,500",Year 1989,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-3325,7982_1.jpg"
John Deere 8430,863-425-0500813-205- ***  ...click here,"Mulberry, Florida","21,500","Cab, Dual Remotes, Duals, PTO, also comes with a Kello-Bilt 325 DiskWeight: 20,470","http://static.mascus.com/image/product/large/machinetrader/john-deere-8430,t6134003_1.jpg"
John Deere 4020,407-259-7775,"Broken Arrow, OK","9,950",Year 1967,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,10643_1.jpg"
John Deere 4020,407-259-7775,"Bakersfield, CA","9,995",Year 1968,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,11082_1.jpg"
John Deere 8520T,407-259-7775,"Salem, OR","114,500",Year 2004,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8520t,3847_1.jpg"
John Deere 8320,407-259-7775,"Salem, OR","118,500",Year 2004,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8320,3846_1.jpg"
John Deere 4630,407-259-7775,"Yakima, WA","6,500",Year 1976,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4630,10544_1.jpg"
John Deere 8225R,407-259-7775,"Friendship, TN","129,000",Year 2010,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8225r,14016_1.jpg"
John Deere 4050,407-259-7775,"Broken Arrow, OK","28,750",Year 1986,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4050,10619_1.jpg"
John Deere 2040,407-259-7775,"Syracuse, NY","9,500",Year 1980,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2040,12555_1.jpg"
John Deere 9520,407-259-7775,"Humbolt, TN","119,900",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9520,12937_1.jpg"
John Deere 6115D,407-259-7775,"Arcadia, FL","52,500",Year 2011,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6115d,12921_1.jpg"
John Deere 4430,407-259-7775,"Norfolk, NE","16,500",Year 1981,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4430,9092_1.jpg"
John Deere 3520,407-259-7775,"Joplin, MO","27,000",Year 2013,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-3520,8238_1.jpg"
John Deere 5020,407-259-7775,"Humbolt, TN","11,990",Year 1966,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-5020,14010_1.jpg"
John Deere 6715,407-259-7775,"Salem, IN","31,500",Year 2006,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6715,10552_1.jpg"
John Deere 4430,407-259-7775,"Friendship, TN","14,250",Year 1976,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4430,14020_1.jpg"
John Deere 4720,407-259-7775,"Mukilteo, WA","33,500",Year 2006,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4720,14961_1.jpg"
John Deere 6125M,407-259-7775,"Independence, MO","85,900",Year 2013,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6125m,15877_1.jpg"
John Deere 6605,407-259-7775,"Troy, AL","32,150",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6605,16008_1.jpg"
John Deere 9400,407-259-7775,"Norfolk, NE","75,900",Year 1998,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9400,8567_1.jpg"
John Deere 2555,407-259-7775,"Jacksonville, FL","16,450",Year 1996,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2555,3211_1.jpg"
John Deere 4640,407-259-7775,"Humbolt, TN","15,750",Year 1978,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4640,12906_1.jpg"
John Deere 4760,407-259-7775,"Friendship, TN","44,900",Year 1994,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4760,14024_1.jpg"
John Deere 9420,407-259-7775,"Humbolt, TN","98,900",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9420,12899_1.jpg"
John Deere 6400,407-259-7775,"Clinton, KY","29,250",Year 1993,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6400,15102_1.jpg"
John Deere 820,407-259-7775,"Broken Arrow, OK","6,950",Year 1972,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-820,10626_1.jpg"
John Deere 8400,407-259-7775,"Humbolt, TN","57,990",Year 1997,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8400,14007_1.jpg"
John Deere None,407-259-7775,"Dothan, AL","24,900",Year 2006,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-none,14643_1.jpg"
John Deere 3010,407-259-7775,"Norfolk, NE","7,250",Year 1963,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-3010,9086_1.jpg"
John Deere 9520,407-259-7775,"Humbolt, TN","120,000",Year 2002,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9520,12943_1.jpg"
John Deere 4020,407-259-7775,"Broken Arrow, OK","10,500",Year 1967,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,11459_1.jpg"
John Deere 220,407-259-7775,"Three Rivers, MI","3,500",Year 1980,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-220,11196_1.jpg"
John Deere 9930,407-259-7775,"Bakersfield, CA","6,000",Year 1991,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9930,11083_1.jpg"
John Deere 7700,407-259-7775,"Sauk Centre, MN","12,500",Year 1970,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7700,15848_1.jpg"
John Deere 7215R,800-307-2927,"Clermont, IA","148,000","2011 JOHN DEERE 7215R /1650HRS / POWERSHIFT/ TRIPLE LINK SUSPENSION / 4 SCV / 60 GPM HYDRAULIC PUMP / DELUXE COMMAND VIEW CAB

Guidance-ready: Yes
Cab: Cab
Cast Wheels with Single Taper Hubs
Front tries 380/85R34  R1
60 gpm (85cc) hydraulic pump
Premium Radio Pkg with XM Radio
Four remote cylinder control
Shiftable pto 540/1000 no 540 shaft
Weight: front support less weights
3 point hitch 13,800 lb lift capacity
480/80R46  Rear Tires R1
CommandQuad
480 mm Front Fenders
Rear axle 110.5in. (100mm)
Weight rear: 1 pair 165 & 2 pr 450 rear
7in color touch display
ILS less Front Brakes
Deluxe Cab
loader in pictures does not go with the tractor","http://static.mascus.com/image/product/large/johndeereus/john-deere-7215r,3197221-1.jpg"
John Deere 1010,407-259-7775,"Oklahoma City, OK","7,990",Year 1985,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-1010,15577_1.jpg"
John Deere 8300,800-307-2927,"Clermont, IA","64,000","1996 JOHN DEERE 8300 / 6016HRS / POWERSHIFT / MFWD / 4 SCV / 30 GPM HYDRAULIC PUMP / 450 LB REAR WEIGHTS

Cab: Cab
2 Front tires 16.9R30 R1
32 gpm hydraulic pump (45cc)
Weight rear: 2 pair 450lbs
Weight: front support less weights
4 remote cylinder controls
Pto: 1000 rpm independent
Dual 18.4R46 Rear Tires
3 point hitch 15,200lb capacity","http://static.mascus.com/image/product/large/johndeereus/john-deere-8300,3830501-1.jpg"
John Deere HX15,407-259-7775,"Oklahoma City, OK","13,750",Year 2008,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-hx15,15474_1.jpg"
John Deere 9500,407-259-7775,"St. Paul, KS","39,750",Year 1994,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9500,15844_1.jpg"
John Deere 4730,407-259-7775,"Madisonville, KY","134,990",Year 2009,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4730,14736_1.jpg"
John Deere 452,407-259-7775,"Oklahoma City, OK","9,900",Year 1991,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-452,15572_1.jpg"
John Deere 27,407-259-7775,"Broken Arrow, OK","4,500",Year 1995,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-27,10605_1.jpg"
John Deere 455,407-259-7775,"Oklahoma City, OK","27,500",Year 1992,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-455,15532_1.jpg"
John Deere 6620,407-259-7775,"Darlington, SC","11,950",Year 1983,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6620,6394_1.jpg"
John Deere 9920,407-259-7775,"Shorterville, AL","5,750",Year 1985,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9920,12508_1.jpg"
John Deere 995,407-259-7775,"Caldwell, ID","25,000",Year 2013,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-995,11775_1.jpg"
John Deere 8320R,800-307-2927,"Clermont, IA","207,000","2010 JOHN DEERE 8320R / 1348HRS / POWERSHIFT / ILS / 5 SCV / 60 GPM HYDRAULIC PUMP / DELUXE COMMAND VIEW CAB WITH ACTIVE SEAT / New Tires (from new tractor) FRONT & REAR DUALS / ELECTRIC MIRRORS / LEATHER / 540-1000 PTO

Guidance-ready: Yes
Cab: Cab
60 gpm hydraulic pump (85cc)
118.5inch (120mm) rear axle
480/80R50 1R1W Rear Tires
Front Fenders
Dual beam radar sensor
2 front tires 420/85R34 R1W
Active seat
Weight rear: 2 pair 450lbs
Leather trim
Five remote cylinder controls
Xenon Lighting
480/80R50 R1W Rear Tires
Shiftable pto-540 & 1000 rpm
3 point hitch with 18,300lb capacity","http://static.mascus.com/image/product/large/johndeereus/john-deere-8320r,2904806-1.jpg"
John Deere 4400,407-259-7775,"Shallotte, NC","7,250",Year 1971,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4400,10736_1.jpg"
John Deere 8245R,800-307-2927,"Clermont, IA","160,000","2010 JOHN DEERE 8245R / 1160HRS / POWERSHIFT / 1300 / 4 SCV / 44 GPM HYDRAULIC PUMP / DELUXE COMMANDVIEW CAB WITH ACTIVE SEAT

Guidance-ready: Yes
Cab: Cab
Xenon Lighting
2 Front tires 420/90R30 R1W
4 remote cylinder controls
480/80R46 R1W Rear Tires
Pto: 1000 rpm independent
3 point hitch 12,300 lb. capacity
Active seat
32 gpm hydraulic pump (45cc)
118.5 inch rear axle (110mm)
Dual beam radar sensor
480/80R46 R1 Rear Tires
Weight: 1pr 450 lbs&1pr 165 lbs rear","http://static.mascus.com/image/product/large/johndeereus/john-deere-8245r,3822417-1.jpg"
John Deere 7300,407-259-7775,"Plant City, FL","11,500",Year 1992,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7300,15884_1.jpg"
John Deere 7700,407-259-7775,"Corvallis, OR","7,450",Year 1978,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7700,5575_1.jpg"
John Deere 4630,407-259-7775,"Silverton, OR","18,900",Year 2012,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4630,5761_1.jpg"
John Deere 9220,800-307-2927,"Clermont, IA","116,000","NICE TRACTOR

PTO: Yes
Guidance-ready: Yes
Differential lock
24 fwd, 6 rev transmission
Weight: (2)165lb & (6)450lb
20.8-42 Tires
Instructional seat","http://static.mascus.com/image/product/large/johndeereus/john-deere-9220,3462610-1.jpg"
John Deere 7700,407-259-7775,"Sauk Centre, MN","11,000",Year 1970,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7700,15849_1.jpg"
John Deere 450,407-259-7775,"Oklahoma City, OK","9,990",Year 1992,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-450,15533_1.jpg"
John Deere 8820,407-259-7775,"Canby, OR","13,990",Year 1987,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8820,11365_1.jpg"
John Deere 9660STS,407-259-7775,"Eugene, OR","127,850",Year 2006,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9660sts,12332_1.jpg"
John Deere 6000,407-259-7775,"Rapid City, SD","11,750",Year 1980,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6000,12250_1.jpg"
John Deere 4930,407-259-7775,"Madisonville, KY","89,000",Year 2009,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4930,14790_1.jpg"
John Deere S670,407-259-7775,"Olney, IL","325,000",Year 2013,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-s670,13983_1.jpg"
John Deere 8335R,800-307-2927,"Clermont, IA","215,000","2012 JOHN DEERE 8335R / 1215HRS / IVT W/LH REVERSER / ILS / 5 SCV / 60 GPM HYDRAULIC PUMP / PREMIUM CAB WITH ACTIVE SEAT / POWERGARD /  INTELLIGENT POWER MANAGMENT / LEATHER / ELECTRIC MIRRORS

Guidance-ready: Yes
Cab: Cab
Dual beam radar sensor
3 point hitch 18,700 lb lift capacity
ILS with Front brakes
50 kph with Left Hand Reverser
4 front tires 420/ 85R34
7in color display
Weight: front support with 16 weights
JDLnk Ult. promotion 3yrs
Less StarFire Receiver
HID Light pkg
480/ 80R50 R1W Rear Tires
Premium Cab with ActiveSeat
620 mm Front fenders
Premium Radio Pkg with XM Radio
Full coverage rear fender
60 gpm (85cc) hydraulic pump
Weight rear: 2 inside wheel 1400 lb
Five remote cylinder control
Cat. 4 Drawbar with HD Support
Intelligent Power Management
Independent pto-1000 rpm
118.5 inch (120mm) rear axle","http://static.mascus.com/image/product/large/johndeereus/john-deere-8335r,2754664-1.jpg"
John Deere 9965,407-259-7775,"Bakersfield, CA","17,900",Year 1992,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9965,11095_1.jpg"
John Deere 980,800-307-2927,"Clermont, IA","28,500","38 FOOT 3-SECTION FOLDING, C-SHANKS, 5 BAR SPIKE
HARROW, REAR HITCH

5 BAR SPIKE HARROW
REAR HITCH","http://static.mascus.com/image/product/large/johndeereus/john-deere-980,2668665-1.jpg"
